Command,Category,Description
vgremove -o index.html,Linux,
uptime  /var/log/,Linux,
locate,Linux,
mkfs.xfs -u,Linux,
find  /etc/,Linux,
losetup -w /home/user/,Linux,
batch -l file.txt,Linux,
netstat  /var/log/,Linux,
awk,Linux,
halt -g index.html,Linux,
lsattr,Linux,
cryptsetup -t usb.img,Linux,
updatedb -o,Linux,
setfacl -n app.js,Linux,
logrotate  config.conf,Linux,
chattr -z file2.txt,Linux,
dnf  config.yaml,Linux,
cd  network.log,Linux,
userdel -a file1.log,Linux,
cal  file1.log,Linux,
scp -g,Linux,
mkdir,Linux,
scp --all,Linux,
touch,Linux,
mkfs.msdos -h,Linux,
tune2fs,Linux,
sort -e style.css,Linux,
fsck,Linux,
groupmod  file2.txt,Linux,
lvextend --help,Linux,
stat,Linux,
gdisk -y output.txt,Linux,
gzip -u config.yaml,Linux,
logrotate,Linux,
env -l style.css,Linux,
grub2-install  report.csv,Linux,
grep -o,Linux,
dmesg,Linux,
update-grub  main.py,Linux,
df --help /dev/sda1,Linux,
vgcreate,Linux,
nohup -e disk.img,Linux,
tr -z style.css,Linux,
lspci  disk.img,Linux,
curl,Linux,
grub2-mkconfig --recursive file1.log,Linux,
dmesg  /var/log/,Linux,
route  report.csv,Linux,
df  file1.log,Linux,
route,Linux,
ls  /tmp/,Linux,
grub-mkconfig,Linux,
gdisk,Linux,
chage --version,Linux,
man -y /tmp/,Linux,
groupmod -x,Linux,
crontab  /dev/sda1,Linux,
lvreduce,Linux,
ifconfig -a,Linux,
cryptdisks_start --quiet /etc/,Linux,
dmidecode  /etc/,Linux,
sfdisk -p,Linux,
fg  dir1,Linux,
groupmod,Linux,
groupmod --help,Linux,
tail,Linux,
pvresize --quiet,Linux,
bg  /mnt/usb,Linux,
shutdown -z config.yaml,Linux,
logrotate  disk.img,Linux,
partprobe  report.csv,Linux,
man -w logfile.log,Linux,
killall  file1.log,Linux,
cat  app.js,Linux,
mkfs.ext4 --verbose playbook.yml,Linux,
route --dry-run,Linux,
lvremove -v backup.tar,Linux,
lshw -w,Linux,
umount -e,Linux,
lvm -s disk.img,Linux,
parted  config.conf,Linux,
pkill,Linux,
scp  report.csv,Linux,
jobs --help logfile.log,Linux,
scp -y,Linux,
reboot -w,Linux,
grub2-install  file1.log,Linux,
free -z file2.txt,Linux,
at  backup.tar,Linux,
sudoedit  file2.txt,Linux,
grub2-install --dry-run,Linux,
ls -a style.css,Linux,
grub2-install -x dir2,Linux,
cryptsetup  archive.tar.gz,Linux,
iptables --help main.py,Linux,
wget,Linux,
grep,Linux,
reboot  /mnt/usb,Linux,
dracut,Linux,
chown,Linux,
cryptsetup  output.txt,Linux,
ssh --help file.txt,Linux,
mkinitramfs --all,Linux,
df --recursive,Linux,
dmesg --version file2.txt,Linux,
gzip,Linux,
update-grub,Linux,
nano --all,Linux,
update-initramfs  logfile.log,Linux,
cat  file.txt,Linux,
netstat,Linux,
htop  file.txt,Linux,
update-grub,Linux,
vgremove  playbook.yml,Linux,
service --dry-run,Linux,
fg -n /var/log/,Linux,
ping -n,Linux,
gzip,Linux,
mkfs.xfs -l /var/log/,Linux,
setfacl  file.txt,Linux,
resize2fs,Linux,
uname -h /var/log/,Linux,
gunzip -c,Linux,
dracut  config.yaml,Linux,
mkfs.btrfs -x usb.img,Linux,
mkinitrd  /home/user/,Linux,
mkinitramfs -q,Linux,
mkfs.btrfs  network.log,Linux,
more --quiet output.txt,Linux,
more,Linux,
tail,Linux,
mkfs.ext4 --interactive,Linux,
fg --help backup.tar,Linux,
chage --interactive,Linux,
lvm -l,Linux,
cryptsetup,Linux,
touch,Linux,
lshw,Linux,
vmstat,Linux,
logrotate -f,Linux,
bg -a file1.log,Linux,
visudo -e style.css,Linux,
kpartx --help kubernetes.yml,Linux,
cat -m,Linux,
lshw  /srv/www/,Linux,
chown -e,Linux,
screen --help,Linux,
journalctl -r,Linux,
mkfs.vfat -f,Linux,
cryptsetup,Linux,
netstat -l,Linux,
at,Linux,
batch,Linux,
pvdisplay --all config.yaml,Linux,
blkid,Linux,
pvscan  /usr/local/,Linux,
mkfs --dry-run,Linux,
grub-install --recursive,Linux,
shutdown  playbook.yml,Linux,
initramfs -q /home/user/,Linux,
mkfs -f,Linux,
hostname --version,Linux,
chmod,Linux,
fg,Linux,
cryptdisks_start --dry-run file1.log,Linux,
uptime  app.js,Linux,
grub-mkconfig,Linux,
rsync -z file2.txt,Linux,
vgreduce  /home/user/,Linux,
export -b docker-compose.yml,Linux,
logrotate -f,Linux,
reboot  /srv/www/,Linux,
update-initramfs,Linux,
update-grub -u,Linux,
pvresize -x file1.log,Linux,
tr  file.txt,Linux,
rm  config.conf,Linux,
df -s,Linux,
cryptdisks_start,Linux,
swapoff  usb.img,Linux,
cryptsetup,Linux,
initramfs  index.html,Linux,
chgrp -v,Linux,
ftp --dry-run,Linux,
lshw,Linux,
rsync -z file1.log,Linux,
chattr --quiet,Linux,
update-grub,Linux,
mdadm -n config.yaml,Linux,
setfacl -n backup.tar,Linux,
losetup -w /home/user/,Linux,
df  report.csv,Linux,
hostname -d app.js,Linux,
man --version logfile.log,Linux,
mkinitrd -z docker-compose.yml,Linux,
visudo,Linux,
htop,Linux,
cal --recursive config.yaml,Linux,
modinfo,Linux,
strace -g /var/log/,Linux,
dnf --recursive network.log,Linux,
rmmod  dir2,Linux,
setfacl --quiet dir2,Linux,
lsof  docker-compose.yml,Linux,
lsblk,Linux,
mkfs.xfs --verbose /home/user/,Linux,
lvdisplay --help /srv/www/,Linux,
chgrp -h,Linux,
parted -y playbook.yml,Linux,
parted  network.log,Linux,
update-grub,Linux,
update-initramfs  logfile.log,Linux,
ifconfig -t output.txt,Linux,
vgremove,Linux,
service -u,Linux,
nano  backup.tar,Linux,
blkid  index.html,Linux,
mount  docker-compose.yml,Linux,
vgcreate,Linux,
wget -c config.yaml,Linux,
mkdir,Linux,
mkinitramfs,Linux,
update-grub  script.sh,Linux,
watch,Linux,
ping  disk.img,Linux,
lvremove  file1.log,Linux,
swapoff,Linux,
lvcreate -c,Linux,
lvm --version,Linux,
blkid -l playbook.yml,Linux,
groupadd  /srv/www/,Linux,
history  usb.img,Linux,
strace,Linux,
passwd -g,Linux,
shutdown -q /dev/sda1,Linux,
lsblk,Linux,
mkfs.msdos -z,Linux,
update-grub -c script.sh,Linux,
export -g,Linux,
cat -t playbook.yml,Linux,
mkfs.msdos,Linux,
mkinitramfs  /home/user/,Linux,
screen -v,Linux,
lsblk --help,Linux,
dmsetup -c,Linux,
mkfs.ntfs --recursive,Linux,
du  /home/user/,Linux,
mkfs.ext4  playbook.yml,Linux,
scp,Linux,
kpartx -a,Linux,
kpartx -a,Linux,
sudo,Linux,
chmod  docker-compose.yml,Linux,
partprobe  backup.tar,Linux,
scp  report.csv,Linux,
wget --all /home/user/,Linux,
more -c,Linux,
update-grub  logfile.log,Linux,
cryptdisks_stop -d,Linux,
jobs -r disk.img,Linux,
grep --dry-run /etc/,Linux,
setfacl,Linux,
fdisk  config.yaml,Linux,
lshw  disk.img,Linux,
sudo -q /var/log/,Linux,
pvresize -q /usr/local/,Linux,
mkfs.minix  network.log,Linux,
crontab  app.js,Linux,
dmidecode -p,Linux,
lvm  disk.img,Linux,
df  archive.tar.gz,Linux,
insmod  dir2,Linux,
mkpasswd,Linux,
mkfs.hfsplus -v,Linux,
chown -n,Linux,
tee  docker-compose.yml,Linux,
rmdir -u /srv/www/,Linux,
mkdir -i,Linux,
gdisk,Linux,
update-grub --force dir2,Linux,
partprobe,Linux,
mount,Linux,
useradd -f,Linux,
vgcreate,Linux,
modprobe -l dir2,Linux,
umount  /usr/local/,Linux,
tee -f dir1,Linux,
netstat,Linux,
cryptdisks_stop --version,Linux,
at,Linux,
mkfs.btrfs --force,Linux,
locate,Linux,
history -u,Linux,
update-initramfs -y,Linux,
echo --dry-run index.html,Linux,
chattr  /tmp/,Linux,
parted  archive.tar.gz,Linux,
route,Linux,
vgreduce --verbose,Linux,
chown  usb.img,Linux,
logrotate  docker-compose.yml,Linux,
gzip  script.sh,Linux,
pvresize,Linux,
grub2-mkconfig,Linux,
curl -x docker-compose.yml,Linux,
e2fsck  /var/log/,Linux,
locate,Linux,
more,Linux,
less  /usr/local/,Linux,
ssh -v report.csv,Linux,
setfacl -u /usr/local/,Linux,
tar,Linux,
mkinitrd -s network.log,Linux,
cryptdisks_start  kubernetes.yml,Linux,
crontab,Linux,
usermod  config.conf,Linux,
grub2-install  disk.img,Linux,
mkinitrd  index.html,Linux,
vgremove --help,Linux,
mount,Linux,
mkswap,Linux,
scp -g,Linux,
usermod --all logfile.log,Linux,
initramfs -s index.html,Linux,
gdisk  report.csv,Linux,
pvcreate -g disk.img,Linux,
passwd  playbook.yml,Linux,
mkfs.hfsplus -p,Linux,
gdisk -s,Linux,
su -o report.csv,Linux,
scp -z,Linux,
xargs -v file2.txt,Linux,
screen --help dir1,Linux,
losetup  dir1,Linux,
cryptsetup  playbook.yml,Linux,
dracut --interactive,Linux,
insmod  report.csv,Linux,
grub-install  disk.img,Linux,
mkinitrd --quiet,Linux,
chgrp -x,Linux,
dmstats  kubernetes.yml,Linux,
pwd,Linux,
mkfs.hfsplus  /dev/sda1,Linux,
sort  index.html,Linux,
tr -t,Linux,
cd,Linux,
uniq --force,Linux,
cryptsetup -l usb.img,Linux,
sed  usb.img,Linux,
useradd,Linux,
dnf,Linux,
scp,Linux,
cryptdisks_stop,Linux,
mkfs.ext4 --help,Linux,
groupdel --quiet,Linux,
e2fsck,Linux,
pvscan  disk.img,Linux,
man -x output.txt,Linux,
scp --help script.sh,Linux,
find --force,Linux,
update-initramfs,Linux,
grep --recursive,Linux,
scp  file1.log,Linux,
less --force,Linux,
chgrp --dry-run,Linux,
mkfs -h,Linux,
visudo -e style.css,Linux,
free,Linux,
mkinitramfs,Linux,
kpartx  file2.txt,Linux,
mkinitrd -r config.yaml,Linux,
vgcreate,Linux,
sudo -z /srv/www/,Linux,
dmesg  index.html,Linux,
sudo --verbose /mnt/usb,Linux,
ls,Linux,
top  /srv/www/,Linux,
df,Linux,
scp,Linux,
vim  output.txt,Linux,
sed  file2.txt,Linux,
mv --all /etc/,Linux,
sed,Linux,
grub2-install  logfile.log,Linux,
mkswap -r /srv/www/,Linux,
gzip,Linux,
netstat  /var/log/,Linux,
gdisk --all /home/user/,Linux,
chpasswd  file2.txt,Linux,
cryptdisks_stop  file1.log,Linux,
lsattr -r,Linux,
route -p style.css,Linux,
dracut -l,Linux,
mkfs.ext4  file1.log,Linux,
mkfs.msdos,Linux,
grub2-mkconfig,Linux,
ln -p /dev/sda1,Linux,
vgscan --quiet dir1,Linux,
sudo,Linux,
cfdisk --interactive,Linux,
crontab,Linux,
swapoff -d file2.txt,Linux,
vgcreate -e /srv/www/,Linux,
mkinitramfs,Linux,
ln  /usr/local/,Linux,
grub-mkconfig  usb.img,Linux,
lvreduce,Linux,
mdadm --all file2.txt,Linux,
sed -e disk.img,Linux,
iostat -t,Linux,
su -m report.csv,Linux,
